Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C16, C23, C8, C9",0402,7,100nF,C307331
"C12, C13, C5, C6",0805,4,1uF,C28323
"C14, C15, C20, C22",0402,4,22nF,C1532
"C17, C18",0603,2,470nF,C1623
"C19, C21",0402,2,220nF,C16772
"C2, C3",0402,2,15pF,C1548
"C4, C7",0402,2,18pF,C1549
D1,0805,1,GREEN,C2297
FB1,0603,1,FerriteBead_Small,C14709
"J1, J3",PinHeader_1x17_P2.54mm_Vertical,2,Conn_01x17_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,NC,
J20,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,I_IN,C5301850
J21,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Q_IN,C5301850
J4,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB2.0_16P,C2894897
J5,PinHeader_2x03_P2.54mm_Vertical,1,Boot,
J6,PinHeader_1x02_P2.54mm_Vertical,1,NC,
"L1, L2, L3, L4, L5, L6",0805,6,10uH,C1046
"R1, R2, R4, R7",0402,4,10k,C25744
"R10, R11, R12, R5, R6, R8",0603,6,4.7,C23164
"R13, R14",0402,2,5k1,C25905 
"R15, R9",0603,2,10,C22859
"R17, R18, R19, R20",0402,4,NC,C25867
R3,0402,1,1k5,C25867
SW3,SW_SPST_TL3342,1,BTN,C318884
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U5,SOT-23-5,1,MIC5504-3.3YM5,C3021093
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C5308002
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32768Hz,C32346
